train,test
-320.83928209273995,-320.83928209273995
-399.21848643158336,-399.21848643158336
-357.68527504593146,-357.68527504593146
-370.82141487476065,-370.82141487476065
-393.82485986637306,-393.82485986637306
-335.9243425505503,-335.9243425505503
-358.8948269958099,-358.8948269958099
-353.80087872075114,-353.80087872075114
-380.71676447960067,-380.71676447960067
-361.8378894944235,-361.8378894944235
-317.1806414510755,-317.1806414510755
-343.41951355048144,-343.41951355048144
-371.3010283462903,-371.3010283462903
-384.72247655393375,-384.72247655393375
-329.6759879848777,-329.6759879848777
-352.68968727873425,-352.68968727873425
-368.76711769951373,-368.76711769951373
-368.7347837289116,-368.7347837289116
-386.04998982701983,-386.04998982701983
-395.9162348991683,-395.9162348991683
-363.7479364741395,-363.7479364741395
-316.6928770927717,-316.6928770927717
-354.3481520354002,-354.3481520354002
-364.0414437571691,-364.0414437571691
-363.72286951638864,-363.72286951638864
-365.2036633054215,-365.2036633054215
-379.55729229844184,-379.55729229844184
-350.4049669576026,-350.4049669576026
-368.61451635167714,-368.61451635167714
-347.6314107295386,-347.6314107295386
-349.70572582290845,-349.70572582290845
-356.21208970435544,-356.21208970435544
-403.6384250312224,-403.6384250312224
-339.2819448425932,-339.2819448425932
-315.43691898407974,-315.43691898407974
-332.3744314528819,-332.3744314528819
-383.28808010455634,-383.28808010455634
-363.7966006851142,-363.7966006851142
-342.4544511542122,-342.4544511542122
-290.1486440705861,-290.1486440705861
-345.03619670141507,-345.03619670141507
-335.4083556497771,-335.4083556497771
-317.19385759472897,-317.19385759472897
-363.4891262718197,-363.4891262718197
-382.0551216562364,-382.0551216562364
-332.09540241207253,-332.09540241207253
-372.4208215841191,-372.4208215841191
-353.9091370058519,-353.9091370058519
-373.095888227648,-373.095888227648
-339.9245761574073,-339.9245761574073
-343.14058820745225,-343.14058820745225
-366.8459732181175,-366.8459732181175
-301.99274266538083,-301.99274266538083
-370.34227749889794,-370.34227749889794
-318.82083757581984,-318.82083757581984
-367.64216881431213,-367.64216881431213
-358.2894827783965,-358.2894827783965
-344.65222391049537,-344.65222391049537
-333.9398609735172,-333.9398609735172
-373.2024161291554,-373.2024161291554
-331.8117432320562,-331.8117432320562
-324.48998474422314,-324.48998474422314
-367.16160234142586,-367.16160234142586
-271.8061153712085,-271.8061153712085
-410.64696523301023,-410.64696523301023
-343.4806512007292,-343.4806512007292
-363.48604819885793,-363.48604819885793
-362.6144939878473,-362.6144939878473
-406.7874515170432,-406.7874515170432
-370.62271570682174,-370.62271570682174
-410.66175280500124,-410.66175280500124
-313.7614684821993,-313.7614684821993
-376.42832121086985,-376.42832121086985
