train,test
-188.61893086541662,-188.61893086541662
-243.0697927030886,-243.0697927030886
-145.10743469167343,-145.10743469167343
-261.7364669570114,-261.7364669570114
-232.69845028334666,-232.69845028334666
-305.07870534006037,-305.07870534006037
-258.7694044476995,-258.7694044476995
-198.503866544975,-198.503866544975
-253.49412811129764,-253.49412811129764
-251.92101586805904,-251.92101586805904
-155.47787666339102,-155.47787666339102
-265.414893721915,-265.414893721915
-235.12719746409772,-235.12719746409772
-252.36269765577958,-252.36269765577958
-276.90443969940577,-276.90443969940577
-304.86753140425213,-304.86753140425213
-207.50278518587248,-207.50278518587248
-150.77837832988726,-150.77837832988726
-238.4762607375666,-238.4762607375666
-263.76744468772085,-263.76744468772085
-202.2576862017163,-202.2576862017163
-246.21718692820775,-246.21718692820775
-234.73423448373995,-234.73423448373995
-226.70676318569687,-226.70676318569687
-269.0907610273683,-269.0907610273683
-256.8346717766276,-256.8346717766276
-212.05687112145262,-212.05687112145262
-304.45725761562693,-304.45725761562693
-188.16222074670566,-188.16222074670566
-155.78271454839768,-155.78271454839768
-249.80173589268168,-249.80173589268168
-259.0002914673881,-259.0002914673881
-227.4259707111096,-227.4259707111096
-274.7214353077597,-274.7214353077597
-222.91907007314197,-222.91907007314197
-206.1228596456114,-206.1228596456114
-165.14092699973736,-165.14092699973736
-223.11953842444134,-223.11953842444134
-315.3739436819291,-315.3739436819291
-266.7445642591392,-266.7445642591392
-236.88478963581957,-236.88478963581957
-251.8156343098093,-251.8156343098093
-306.38048852876545,-306.38048852876545
-330.9788212494125,-330.9788212494125
-288.9589489969246,-288.9589489969246
-204.82942896045083,-204.82942896045083
-275.85514926820775,-275.85514926820775
-217.5552582018861,-217.5552582018861
-235.78535431436362,-235.78535431436362
-196.84035573703534,-196.84035573703534
-241.77638194056584,-241.77638194056584
-242.93900548014614,-242.93900548014614
-141.35546945999798,-141.35546945999798
-244.21628659144366,-244.21628659144366
-133.79514515338366,-133.79514515338366
-305.41214260956286,-305.41214260956286
-203.45808918981493,-203.45808918981493
-258.3673721044406,-258.3673721044406
-193.10492087878796,-193.10492087878796
-337.18733635261884,-337.18733635261884
-267.31859117538534,-267.31859117538534
-282.92717492792104,-282.92717492792104
-299.98786512577175,-299.98786512577175
-232.7411488731092,-232.7411488731092
-261.4086876888794,-261.4086876888794
-274.61379023524273,-274.61379023524273
-215.8083905197459,-215.8083905197459
-211.7870195919069,-211.7870195919069
-258.6369053213075,-258.6369053213075
-253.5302532844532,-253.5302532844532
-209.10677686643905,-209.10677686643905
-249.2927573061201,-249.2927573061201
-292.28329514297013,-292.28329514297013
-177.9778176612967,-177.9778176612967
-196.10277156347968,-196.10277156347968
-287.8876231487397,-287.8876231487397
-283.96883566495876,-283.96883566495876
-302.0004071078373,-302.0004071078373
-247.91115911086817,-247.91115911086817
-294.740051823519,-294.740051823519
-214.9239361974613,-214.9239361974613
-257.51533676720555,-257.51533676720555
-173.58303113879228,-173.58303113879228
-272.81212481246223,-272.81212481246223
-269.6450674328646,-269.6450674328646
-175.87007973609502,-175.87007973609502
-246.43315177376178,-246.43315177376178
-213.68066745045377,-213.68066745045377
-193.27995253896503,-193.27995253896503
-272.4040687007711,-272.4040687007711
-307.16257858610396,-307.16257858610396
-199.05866091980766,-199.05866091980766
-217.2247678035914,-217.2247678035914
-185.4726336103749,-185.4726336103749
-179.3356110554691,-179.3356110554691
-214.80843224208007,-214.80843224208007
-140.95814273057005,-140.95814273057005
-230.13390238718435,-230.13390238718435
-285.09392792671036,-285.09392792671036
-227.8637812229312,-227.8637812229312
-251.39917446328977,-251.39917446328977
